iter	Passed	Remaining
0	64	12852
1	71	7069
2	79	5190
3	87	4263
4	94	3690
5	107	3491
6	116	3216
7	124	2991
8	133	2826
9	141	2680
10	148	2554
11	155	2438
12	163	2346
13	170	2263
14	177	2185
15	183	2110
16	190	2049
17	197	1995
18	204	1944
19	211	1902
20	217	1857
21	225	1822
22	232	1791
23	239	1758
24	246	1725
25	253	1697
26	260	1669
27	267	1641
28	273	1615
29	280	1590
30	286	1564
31	294	1543
32	301	1525
33	308	1507
34	315	1488
35	322	1470
36	329	1451
37	336	1432
38	343	1416
39	349	1398
40	355	1379
41	362	1361
42	368	1346
43	375	1330
44	381	1314
45	388	1299
46	394	1285
47	401	1270
48	407	1256
49	414	1243
50	421	1231
51	428	1220
52	435	1209
53	442	1197
54	453	1196
55	461	1187
56	469	1177
57	476	1167
58	483	1156
59	491	1146
60	498	1136
61	506	1126
62	513	1116
63	520	1106
64	528	1097
65	535	1087
66	542	1077
67	550	1067
68	557	1057
69	564	1048
70	572	1039
71	581	1032
72	589	1026
73	598	1019
74	607	1012
75	615	1004
76	623	996
77	632	988
78	641	982
79	649	974
80	658	967
81	668	962
82	678	956
83	686	948
84	697	943
85	708	938
86	717	931
87	726	924
88	737	919
89	746	912
90	757	907
91	767	901
92	776	893
93	785	885
94	794	878
95	803	870
96	811	862
97	821	855
98	831	848
99	840	840
100	848	831
101	856	823
102	866	815
103	875	807
104	883	799
105	891	790
106	900	782
107	907	773
108	915	764
109	924	756
110	933	748
111	940	739
112	948	730
113	955	721
114	964	712
115	972	703
116	980	695
117	989	687
118	997	678
119	1006	670
120	1014	662
121	1023	654
122	1031	645
123	1039	637
124	1048	628
125	1056	620
126	1065	612
127	1072	603
128	1080	594
129	1089	586
130	1097	578
131	1105	569
132	1113	560
133	1121	552
134	1129	544
135	1137	535
136	1144	526
137	1151	517
138	1159	508
139	1166	499
140	1173	490
141	1181	482
142	1188	473
143	1195	465
144	1204	456
145	1213	448
146	1221	440
147	1233	433
148	1242	425
149	1252	417
150	1262	409
151	1273	402
152	1282	393
153	1291	385
154	1301	377
155	1310	369
156	1317	360
157	1325	352
158	1332	343
159	1340	335
160	1347	326
161	1355	317
162	1362	309
163	1370	300
164	1377	292
165	1385	283
166	1394	275
167	1402	267
168	1411	258
169	1419	250
170	1428	242
171	1435	233
172	1443	225
173	1450	216
174	1458	208
175	1466	200
176	1475	191
177	1483	183
178	1491	174
179	1498	166
180	1506	158
181	1515	149
182	1523	141
183	1531	133
184	1539	124
185	1547	116
186	1556	108
187	1564	99
188	1572	91
189	1579	83
190	1588	74
191	1596	66
192	1604	58
193	1612	49
194	1620	41
195	1628	33
196	1636	24
197	1644	16
198	1652	8
199	1661	0
