Model,MAE,RMSE,MPAE
CNN-LSTM,14.498902188283893,21.32028926573396,1.2731146870878758
GRU,14.254557401847636,20.648966402918493,1.2535661584692657
LSTM,13.52629263397715,19.569300124642577,1.1750069593470864
XGBoost,13.69583613560267,17.230783257350627,1.167737598942741
Random Forest,10.59250099262319,13.91052990213796,0.8899109135674405
Decision Tree,20.76465109315121,29.427988752556185,1.7492697762313885
Gradient Boosting,13.63452290429551,16.828316858879717,1.1716305012753017
SVR,18.213414491074943,24.12485147447989,1.546772601162775
ARIMA,190.51967118679948,232.736912792446,14.887929265345026
ARIMA+MLP,194.85127051771175,238.78020302990947,15.277001167334785
RF+XGB+ARIMA,63.053584243489176,77.53920485933551,4.934907002191217
ANN,996325.6286978571,1021767.8437412124,85738.40529001565
CNN-LSTM,14.498902188283893,21.32028926573396,1.2731146870878758
GRU,14.254557401847636,20.648966402918493,1.2535661584692657
LSTM,13.52629263397715,19.569300124642577,1.1750069593470864
XGBoost,14.103142563476563,19.464572772866077,1.135212718376463
Random Forest,11.258747584066162,14.24861204860858,0.8779866868753295
Decision Tree,21.746400112251823,28.819057069850945,1.693558234607291
Gradient Boosting,14.346015754045984,19.180429198540946,1.14860924866119
SVR,20.118792905959733,26.850332843191616,1.5299846766167402
ARIMA,259.9469182543124,321.23642267105316,18.231727318272593
ARIMA+MLP,261.11650296136355,326.00726914811827,18.314864073233952
RF+XGB+ARIMA,87.12358396451035,108.29158064084372,6.1160874093024145
ANN,1090855.1650592857,1118301.2231023735,85812.73847197233
CNN-LSTM,14.498902188283893,21.32028926573396,1.2731146870878758
GRU,14.254557401847636,20.648966402918493,1.2535661584692657
LSTM,13.52629263397715,19.569300124642577,1.1750069593470864
XGBoost,16.646415312499997,22.399915772300453,1.3598842924883616
Random Forest,5.404382969058494,7.281076757651927,0.4353116598686845
Decision Tree,2.3708964070714345,6.537026845429805,0.1847007204053531
Gradient Boosting,15.999421157816348,21.78501989008664,1.3140368840825871
SVR,19.653693751505735,27.03218166727776,1.5750537740138677
ARIMA,197.679831589858,244.17860824903704,14.91037723010409
ARIMA+MLP,199.9850050155636,249.3767737060997,15.102115660178312
RF+XGB+ARIMA,65.63136241472392,81.50804938590393,4.949641797401853
ANN,1021411.8443785714,1043206.8780201334,84931.83248080706
CNN-LSTM,14.498902188283893,21.32028926573396,1.2731146870878758
GRU,14.254557401847636,20.648966402918493,1.2535661584692657
LSTM,13.52629263397715,19.569300124642577,1.1750069593470864
XGBoost,17.53072649623327,22.31686840889409,1.4778752239741249
Random Forest,15.140720769454845,19.31115076376214,1.2559237563895658
Decision Tree,28.70449472493479,37.16040891736274,2.3611620535326163
Gradient Boosting,16.56441245106265,21.25327944993547,1.3859184751878535
SVR,23.78145914588547,30.72159555385889,1.9273855200083387
ARIMA,212.14141813683744,266.2291532776614,15.649101289497702
ARIMA+MLP,213.20944189263616,270.65773813991865,15.744161983761568
RF+XGB+ARIMA,73.23688507576078,91.54347675415852,5.4332536841981245
ANN,1044134.72903,1065977.2709690563,85693.00744919495
CNN-LSTM,14.498902188283893,21.32028926573396,1.2731146870878758
GRU,14.254557401847636,20.648966402918493,1.2535661584692657
LSTM,13.52629263397715,19.569300124642577,1.1750069593470864
XGBoost,21.22024769252231,26.437599079319988,1.9586167494908
Random Forest,19.90341950721269,26.278780838639797,1.853391853672064
Decision Tree,44.80842354899419,67.55863117218124,4.160563204944635
Gradient Boosting,21.299438546772997,26.425652411770688,1.9645020535046809
SVR,18.59551114702179,24.341993297585567,1.7096956716271683
ARIMA,95.53918947055038,114.35518568996048,8.727292304105662
ARIMA+MLP,101.65040285768792,121.02118408361972,9.31008928809068
