Model,MAE,RMSE,MPAE
CNN-LSTM,14.498902188283893,21.320289265733958,1.2731146870878758
GRU,14.254557401847636,20.648966402918493,1.2535661584692657
LSTM,13.52629263397715,19.569300124642577,1.1750069593470864
XGBoost,17.53072649623327,22.31686840889409,1.4778752239741249
Random Forest,15.140720769454843,19.31115076376214,1.2559237563895658
Decision Tree,28.70449472493479,37.16040891736274,2.3611620535326163
Gradient Boosting,16.56441245106265,21.25327944993547,1.3859184751878535
SVR,23.781459145885474,30.72159555385889,1.9273855200083387
ARIMA,212.14141813683742,266.2291532776614,15.649101289497702
ARIMA+MLP,213.20944189263614,270.65773813991865,15.744161983761568
RF+XGB+ARIMA,73.23688507576078,91.54347675415853,5.4332536841981245
ANN,1044134.72903,1065977.2709690565,85693.00744919495
