Model,MAE,RMSE,MPAE
CNN-LSTM,14.498902188283893,21.320289265733958,1.2731146870878758
GRU,14.254557401847636,20.648966402918493,1.2535661584692657
LSTM,13.52629263397715,19.569300124642577,1.1750069593470864
XGBoost,12.863532518136152,17.07526836882007,1.0175553822917596
Random Forest,12.354393982820218,16.141187436813123,0.9645002495041768
Decision Tree,30.89780527179821,47.058089149091735,2.552239492041584
Gradient Boosting,13.993595924168565,18.589211491505022,1.10372075449546
SVR,17.949108456269293,24.371978231877783,1.360852861138215
ARIMA,275.15994265687846,331.9818400777924,19.277112298410298
ARIMA+MLP,275.14968589841027,336.1813158418336,19.260058419126143
RF+XGB+ARIMA,92.52154137589677,112.01800236776533,6.4878322439147045
ANN,1100065.9647564285,1126042.8369697297,85536.3408904442
