Model,MAE,RMSE,MPAE
CNN-LSTM,14.498902188283893,21.320289265733958,1.2731146870878758
GRU,14.254557401847636,20.648966402918493,1.2535661584692657
LSTM,13.52629263397715,19.569300124642577,1.1750069593470864
XGBoost,14.103142563476565,19.464572772866077,1.135212718376463
Random Forest,11.258747584066162,14.24861204860858,0.8779866868753295
Decision Tree,21.746400112251823,28.819057069850942,1.693558234607291
Gradient Boosting,14.346015754045984,19.180429198540942,1.14860924866119
SVR,20.118792905959733,26.850332843191616,1.5299846766167402
ARIMA,259.9469182543124,321.23642267105316,18.231727318272593
ARIMA+MLP,261.11650296136355,326.00726914811827,18.314864073233952
RF+XGB+ARIMA,87.12358396451035,108.29158064084373,6.1160874093024145
ANN,1090855.1650592857,1118301.2231023735,85812.73847197233
