Model,MAE,RMSE,MPAE
CNN-LSTM,14.498902188283893,21.320289265733958,1.2731146870878758
GRU,14.254557401847636,20.648966402918493,1.2535661584692657
LSTM,13.52629263397715,19.569300124642577,1.1750069593470864
XGBoost,16.08526401925223,20.40868951151909,1.2953653898497135
Random Forest,0.6440460342437242,0.9591734022315914,0.0520938415917092
Decision Tree,0.306167121779412,1.2597902780717491,0.024535820547410662
Gradient Boosting,14.52219257697515,18.862712979985588,1.184584137975114
SVR,22.336050249493344,29.565950637627285,1.7949826382438523
ARIMA,229.94163891658135,295.7075846808051,16.406171060683796
ARIMA+MLP,230.62189258364143,299.9536729135214,16.450029671964547
RF+XGB+ARIMA,78.14993129917546,100.05363511461474,5.593313011843024
ANN,1056807.657817857,1081302.5364407997,85354.2910175386
