Model,MAE,RMSE,MPAE
CNN-LSTM,14.498902188283893,21.320289265733958,1.2731146870878758
GRU,14.254557401847636,20.648966402918493,1.2535661584692657
LSTM,13.52629263397715,19.569300124642577,1.1750069593470864
XGBoost,21.22024769252231,26.437599079319988,1.9586167494907998
Random Forest,19.90341950721269,26.278780838639797,1.853391853672064
Decision Tree,44.80842354899419,67.55863117218124,4.160563204944635
Gradient Boosting,21.299438546772997,26.425652411770688,1.9645020535046809
SVR,18.59551114702179,24.341993297585567,1.7096956716271685
ARIMA,95.53918947055038,114.35518568996048,8.727292304105662
ARIMA+MLP,101.65040285768791,121.02118408361973,9.31008928809068
RF+XGB+ARIMA,36.95906158094263,45.353492941965776,3.4075283732018264
ANN,906107.743642143,914948.7422416899,84961.86041812407
