Model,MAE,RMSE,MPAE
CNN-LSTM,14.498902188283893,21.320289265733958,1.2731146870878758
GRU,14.254557401847636,20.648966402918493,1.2535661584692657
LSTM,13.52629263397715,19.569300124642577,1.1750069593470864
XGBoost,13.528446233956466,17.30944399463093,1.09121631462292
Random Forest,1.3027427268212461,1.648897469953077,0.1021505337865885
Decision Tree,1.3246206209167497,3.121929220953172,0.10042962630997551
Gradient Boosting,12.959772315040771,17.145958908528957,1.0428026105876809
SVR,20.216399775084334,26.823237294797536,1.5824145542773627
ARIMA,238.68359107357983,294.56833889916567,17.139839311334992
ARIMA+MLP,238.99155138149902,298.9347387514126,17.15857749915042
RF+XGB+ARIMA,80.07241763609905,99.26660476124316,5.750377217317274
ANN,1064154.9911457142,1087714.9447189001,85035.88439854294
