Model,MAE,RMSE,MPAE
CNN-LSTM,14.498902188283893,21.320289265733958,1.2731146870878758
GRU,14.254557401847636,20.648966402918493,1.2535661584692657
LSTM,13.52629263397715,19.569300124642577,1.1750069593470864
XGBoost,20.366937218191968,25.562272203190496,1.4865798901204499
Random Forest,2.9532723106356595,3.873814571657982,0.21432775499033535
Decision Tree,2.7111216598288803,11.315602213446883,0.1954447554544074
Gradient Boosting,19.34287120307377,23.632008606759737,1.4477979028134567
SVR,25.586900242446006,33.04287907486414,1.8425015865021297
ARIMA,313.5752456547086,367.0358393272517,21.528296468795958
ARIMA+MLP,313.99714266112943,372.1326575531365,21.528946382388234
RF+XGB+ARIMA,107.83760171015884,126.10691035177135,7.41209644976619
ANN,1135649.1559007142,1160314.7696503,85465.43823326036
