Model,MAE,RMSE,MPAE
CNN-LSTM,14.498902188283893,21.320289265733958,1.2731146870878758
GRU,14.254557401847636,20.648966402918493,1.2535661584692657
LSTM,13.52629263397715,19.569300124642577,1.1750069593470864
XGBoost,19.91650147949219,25.02269570224947,1.7541924303004368
Random Forest,21.420486675293667,27.610724123108643,1.8736560979385086
Decision Tree,45.395468441271426,76.50351684956802,4.0129388517450115
Gradient Boosting,19.208904574400886,24.461392125265434,1.692580446603811
SVR,21.5373072806844,28.772840709022148,1.8990530514142587
ARIMA,112.71975908227869,133.18126071915975,9.832731045708691
ARIMA+MLP,118.3284458790411,139.73737910879828,10.352642570673652
RF+XGB+ARIMA,41.570311071536935,51.351677510973275,3.6338611500388245
ANN,939288.3639271427,949016.529254334,85107.07789487032
