Model,MAE,RMSE,MPAE
CNN-LSTM,14.498902188283893,21.320289265733958,1.2731146870878758
GRU,14.254557401847636,20.648966402918493,1.2535661584692657
LSTM,13.52629263397715,19.569300124642577,1.1750069593470864
XGBoost,16.646415312499997,22.399915772300453,1.3598842924883616
Random Forest,5.404382969058494,7.281076757651927,0.4353116598686845
Decision Tree,2.3708964070714345,6.537026845429805,0.18470072040535318
Gradient Boosting,15.999421157816347,21.78501989008664,1.3140368840825871
SVR,19.653693751505735,27.032181667277758,1.5750537740138675
ARIMA,197.679831589858,244.17860824903704,14.91037723010409
ARIMA+MLP,199.98500501556362,249.3767737060997,15.102115660178313
RF+XGB+ARIMA,65.63136241472392,81.50804938590393,4.949641797401853
ANN,1021411.8443785714,1043206.8780201334,84931.83248080706
