Model,MAE,RMSE,MPAE
CNN-LSTM,14.498902188283893,21.320289265733958,1.2731146870878758
GRU,14.254557401847636,20.648966402918493,1.2535661584692657
LSTM,13.52629263397715,19.569300124642577,1.1750069593470864
XGBoost,11.949799737025662,15.133031316785052,0.957427931785069
Random Forest,10.868022817589992,14.37279765014427,0.8614904927814823
Decision Tree,18.604776461892104,27.409156973766002,1.528880159173013
Gradient Boosting,12.535160444912027,15.68947688479929,1.0098419890712333
SVR,18.869513504537913,25.631830174447785,1.4738667947688764
ARIMA,247.5140059176493,304.6579883004078,17.73242407176081
ARIMA+MLP,249.68516348385455,310.03170464651106,17.915425141634923
RF+XGB+ARIMA,84.3775530972492,104.02478298902393,6.05475753474563
ANN,1071876.2164750001,1098482.1588769744,85777.10272318094
