Model,MAE,RMSE,MPAE
CNN-LSTM,14.498902188283893,21.320289265733958,1.2731146870878758
GRU,14.254557401847636,20.648966402918493,1.2535661584692657
LSTM,13.52629263397715,19.569300124642577,1.1750069593470864
XGBoost,13.29284910853796,17.25421582973359,1.1273082711477151
Random Forest,10.675314587868963,14.77663125428686,0.8762176315155307
Decision Tree,17.668235908771994,26.302613387482474,1.4599706406463233
Gradient Boosting,11.82916993372168,15.71911744938434,0.9967877714740342
SVR,17.83227969034588,23.612784520908164,1.4482913607091685
ARIMA,197.10083136877412,247.01119078496987,14.880866020150824
ARIMA+MLP,200.46722597610568,252.47964936834103,15.16821367469285
RF+XGB+ARIMA,65.62989227013266,82.91881299132287,4.951877784172893
ANN,1016797.1045464285,1040444.4795297546,85526.64686822917
