Model,MAE,RMSE,MPAE
CNN-LSTM,14.498902188283893,21.320289265733958,1.2731146870878758
GRU,14.254557401847636,20.648966402918493,1.2535661584692657
LSTM,13.52629263397715,19.569300124642577,1.1750069593470864
XGBoost,13.69583613560267,17.230783257350627,1.167737598942741
Random Forest,10.59250099262319,13.910529902137961,0.8899109135674405
Decision Tree,20.76465109315121,29.427988752556182,1.7492697762313885
Gradient Boosting,13.63452290429551,16.828316858879717,1.1716305012753017
SVR,18.213414491074946,24.124851474479886,1.546772601162775
ARIMA,190.51967118679948,232.736912792446,14.887929265345026
ARIMA+MLP,194.85127051771178,238.78020302990947,15.277001167334783
RF+XGB+ARIMA,63.053584243489176,77.53920485933551,4.934907002191217
ANN,996325.6286978573,1021767.8437412124,85738.40529001565
