Model,MAE,RMSE,MPAE
CNN-LSTM,14.498902188283893,21.320289265733958,1.2731146870878758
GRU,14.254557401847636,20.648966402918493,1.2535661584692657
LSTM,13.52629263397715,19.569300124642577,1.1750069593470864
XGBoost,11.950409156668522,16.09768371906363,0.9996227139288006
Random Forest,10.333010243868038,13.933076733032914,0.8466063546782575
Decision Tree,18.287258677903797,25.917715616548332,1.5349508505328557
Gradient Boosting,11.881453715143486,15.765038480655111,0.9908887101539292
SVR,18.830089145344346,24.913708497901343,1.5681862788575922
ARIMA,186.60653851812006,245.85998519709094,14.360473209859242
ARIMA+MLP,190.36212813899132,252.21298883982047,14.689914297106682
RF+XGB+ARIMA,63.749887494860936,84.1960579046396,4.908881200508819
ANN,993503.7154792858,1020604.6070003833,86473.39395863439
