Model,MAE,RMSE,MPAE
CNN-LSTM,14.498902188283893,21.320289265733958,1.2731146870878758
GRU,14.254557401847636,20.648966402918493,1.2535661584692657
LSTM,13.52629263397715,19.569300124642577,1.1750069593470864
XGBoost,17.734220401785706,22.314547524106505,1.503179921926294
Random Forest,15.736172316860566,20.67124381517708,1.3101845245004047
Decision Tree,31.279258642251204,41.85603757739564,2.6539885058604096
Gradient Boosting,16.358531555888078,20.9648886991629,1.3808360449572565
SVR,23.94340502677942,30.838178414075216,1.9747716734904366
ARIMA,191.7121213436711,247.8400255450091,14.257807005114367
ARIMA+MLP,192.91664832297297,251.71980389537453,14.377922893107744
RF+XGB+ARIMA,66.85028049169063,85.72303775493559,5.005879855183315
ANN,1031186.06195,1051173.275127786,85905.1518680619
