Model,MAE,RMSE,MPAE
CNN-LSTM,43.83621200073242,56.56879668258704,3.811423173955495
CNN-LSTM,54.398404482421896,68.25497053055149,4.313856568162647
CNN-LSTM,60.979741998291026,76.55110539756832,5.370242360827728
CNN-LSTM,44.024712009277344,59.916884675873355,3.702723952647352
CNN-LSTM,36.38049075683594,47.01215307375003,3.430518885839295
CNN-LSTM,56.69230310668945,69.07560795176974,4.83871275244497
CNN-LSTM,47.62413302001951,60.478689367072725,3.6460570528389344
CNN-LSTM,48.72164919433593,60.96120683616227,4.141350688755017
CNN-LSTM,47.10715265625,59.480130693499184,3.741173469115027
CNN-LSTM,58.50465702514649,73.10171770707123,4.9417264442233835
CNN-LSTM,44.15511045288084,54.304157279771495,3.4950168001611917
CNN-LSTM,47.57851741699217,63.81244546526622,4.101594836203903
CNN-LSTM,44.70747349121094,56.3876254425775,3.3092977915794153
CNN-LSTM,32.86676311523438,40.986415974770146,2.938758688855491
GRU,43.64949758300779,53.70900778420517,3.751834888494116
GRU,42.36925981201173,52.36631506364878,3.323688684023419
GRU,42.67579545654297,50.16759127051666,3.6648785107804094
GRU,38.23709959960939,47.34561974585847,3.1223806804905148
GRU,30.58271694580078,35.28851719711226,2.827641714194582
GRU,45.72703604492186,53.391142300149625,3.7858388996583705
GRU,37.595336606445315,45.85924214994071,2.8502884482173076
GRU,41.0293608898926,49.30410384370831,3.4634575263066827
GRU,39.43565721557619,48.55910202914243,3.1751043071396383
GRU,44.62264462524414,55.44473358909114,3.6871715757356234
GRU,40.54523639892577,49.97135271512285,3.255212264443838
GRU,36.900021772460946,45.20827195173506,3.0705488785839683
GRU,38.39160528564454,46.82203059068747,2.8777922931323836
GRU,23.722439949951177,31.541558953659223,2.1429251857654172
LSTM,41.6542527770996,49.05119058259747,3.5167734268926436
LSTM,44.038521032714854,50.72432139436606,3.4315082554012353
LSTM,50.22939315795899,57.258795239250915,4.3939630322278305
LSTM,41.67161865234374,49.0076141810742,3.4149459529966397
LSTM,34.96907115478516,41.56059991854484,3.2529472199446534
LSTM,52.72575690185546,61.03858158760882,4.500694736089485
LSTM,40.015307326660135,46.58073283466742,2.973566939449104
LSTM,41.12190223510743,47.600664730928,3.4461049855603108
LSTM,42.04546008544922,49.25289811666486,3.3000711102965963
LSTM,47.11489385009766,55.777869017517666,3.900794944810411
LSTM,36.83247993652343,45.31932106392103,2.8517542741969177
LSTM,52.10199833740235,61.35157945002311,4.4701087368658765
LSTM,39.378714118652354,47.408727070335736,2.8831512997452995
LSTM,29.447062561035143,37.177876498001794,2.609714082837978
XGBoost,13.69583613560267,17.230783257350627,1.167737598942741
XGBoost,14.103142563476563,19.464572772866077,1.135212718376463
XGBoost,16.646415312499997,22.399915772300453,1.3598842924883616
XGBoost,17.53072649623327,22.31686840889409,1.4778752239741249
XGBoost,21.22024769252231,26.437599079319988,1.9586167494908
XGBoost,17.734220401785706,22.314547524106505,1.503179921926294
XGBoost,12.863532518136152,17.07526836882007,1.0175553822917596
XGBoost,13.29284910853796,17.25421582973359,1.1273082711477151
XGBoost,13.528446233956466,17.30944399463093,1.09121631462292
XGBoost,11.950409156668522,16.09768371906363,0.9996227139288006
XGBoost,11.949799737025662,15.133031316785052,0.957427931785069
XGBoost,16.08526401925223,20.40868951151909,1.2953653898497135
XGBoost,20.366937218191968,25.562272203190496,1.48657989012045
XGBoost,19.91650147949219,25.02269570224947,1.7541924303004368
Random Forest,10.59250099262319,13.91052990213796,0.8899109135674405
Random Forest,11.258747584066162,14.24861204860858,0.8779866868753295
Random Forest,5.404382969058494,7.281076757651927,0.4353116598686845
Random Forest,15.140720769454845,19.31115076376214,1.2559237563895658
Random Forest,19.90341950721269,26.278780838639797,1.853391853672064
Random Forest,15.736172316860566,20.67124381517708,1.310184524500405
Random Forest,12.354393982820218,16.141187436813123,0.9645002495041768
Random Forest,10.675314587868964,14.77663125428686,0.8762176315155307
Random Forest,1.302742726821246,1.648897469953077,0.1021505337865885
Random Forest,10.333010243868038,13.933076733032914,0.8466063546782575
Random Forest,10.868022817589992,14.37279765014427,0.8614904927814823
Random Forest,0.6440460342437242,0.9591734022315914,0.0520938415917092
Random Forest,2.9532723106356595,3.873814571657982,0.2143277549903353
Random Forest,21.420486675293667,27.610724123108643,1.8736560979385088
Decision Tree,20.76465109315121,29.427988752556185,1.7492697762313885
Decision Tree,21.746400112251823,28.819057069850945,1.693558234607291
Decision Tree,2.3708964070714345,6.537026845429805,0.1847007204053531
Decision Tree,28.70449472493479,37.16040891736274,2.3611620535326163
Decision Tree,44.80842354899419,67.55863117218124,4.160563204944635
Decision Tree,31.279258642251204,41.85603757739564,2.6539885058604096
Decision Tree,30.89780527179821,47.058089149091735,2.552239492041584
Decision Tree,17.668235908771994,26.302613387482474,1.459970640646323
Decision Tree,1.3246206209167497,3.121929220953172,0.1004296263099755
Decision Tree,18.287258677903797,25.917715616548332,1.5349508505328555
Decision Tree,18.604776461892104,27.409156973766,1.528880159173013
Decision Tree,0.306167121779412,1.2597902780717491,0.0245358205474106
Decision Tree,2.7111216598288803,11.315602213446883,0.1954447554544074
Decision Tree,45.395468441271426,76.50351684956802,4.0129388517450115
Gradient Boosting,13.63452290429551,16.828316858879717,1.1716305012753017
Gradient Boosting,14.346015754045984,19.180429198540946,1.14860924866119
Gradient Boosting,15.999421157816348,21.78501989008664,1.3140368840825871
Gradient Boosting,16.56441245106265,21.25327944993547,1.3859184751878535
Gradient Boosting,21.299438546772997,26.425652411770688,1.9645020535046809
Gradient Boosting,16.358531555888078,20.9648886991629,1.3808360449572563
Gradient Boosting,13.993595924168565,18.589211491505026,1.10372075449546
Gradient Boosting,11.82916993372168,15.71911744938434,0.9967877714740342
Gradient Boosting,12.959772315040771,17.145958908528957,1.0428026105876809
Gradient Boosting,11.881453715143486,15.765038480655113,0.9908887101539292
Gradient Boosting,12.535160444912028,15.68947688479929,1.0098419890712331
Gradient Boosting,14.52219257697515,18.862712979985588,1.184584137975114
Gradient Boosting,19.34287120307377,23.632008606759737,1.4477979028134569
Gradient Boosting,19.208904574400886,24.461392125265434,1.692580446603811
SVR,18.213414491074943,24.12485147447989,1.546772601162775
SVR,20.118792905959733,26.850332843191616,1.5299846766167402
SVR,19.653693751505735,27.03218166727776,1.5750537740138677
SVR,23.78145914588547,30.72159555385889,1.9273855200083387
SVR,18.59551114702179,24.341993297585567,1.7096956716271683
SVR,23.94340502677942,30.838178414075216,1.9747716734904368
SVR,17.949108456269293,24.371978231877783,1.360852861138215
SVR,17.83227969034588,23.612784520908164,1.4482913607091683
SVR,20.216399775084337,26.823237294797536,1.5824145542773629
SVR,18.830089145344346,24.913708497901343,1.5681862788575922
SVR,18.869513504537913,25.631830174447785,1.4738667947688764
SVR,22.336050249493344,29.565950637627285,1.7949826382438523
SVR,25.586900242446006,33.04287907486414,1.8425015865021297
SVR,21.5373072806844,28.772840709022148,1.8990530514142587
ARIMA,190.51967118679948,232.736912792446,14.887929265345026
ARIMA,259.9469182543124,321.23642267105316,18.231727318272593
ARIMA,197.679831589858,244.17860824903704,14.91037723010409
ARIMA,212.14141813683744,266.2291532776614,15.649101289497702
ARIMA,95.53918947055038,114.35518568996048,8.727292304105662
ARIMA,191.7121213436711,247.8400255450091,14.257807005114367
ARIMA,275.15994265687846,331.9818400777924,19.277112298410294
ARIMA,197.10083136877412,247.01119078496987,14.880866020150824
ARIMA,238.68359107357983,294.56833889916567,17.139839311334992
ARIMA,186.6065385181201,245.85998519709096,14.360473209859242
ARIMA,247.5140059176493,304.6579883004078,17.73242407176081
ARIMA,229.94163891658135,295.7075846808051,16.406171060683796
ARIMA,313.5752456547086,367.0358393272517,21.52829646879596
ARIMA,112.71975908227869,133.18126071915975,9.832731045708693
ARIMA+MLP,194.85127051771175,238.78020302990947,15.277001167334785
ARIMA+MLP,261.11650296136355,326.00726914811827,18.314864073233952
ARIMA+MLP,199.9850050155636,249.3767737060997,15.102115660178312
ARIMA+MLP,213.20944189263616,270.65773813991865,15.744161983761568
ARIMA+MLP,101.65040285768792,121.02118408361972,9.31008928809068
ARIMA+MLP,192.91664832297295,251.71980389537453,14.377922893107744
ARIMA+MLP,275.14968589841027,336.1813158418336,19.260058419126143
ARIMA+MLP,200.46722597610568,252.47964936834103,15.16821367469285
ARIMA+MLP,238.99155138149905,298.9347387514126,17.15857749915042
ARIMA+MLP,190.36212813899132,252.21298883982047,14.689914297106682
ARIMA+MLP,249.68516348385455,310.03170464651106,17.915425141634923
ARIMA+MLP,230.62189258364145,299.9536729135214,16.450029671964547
